campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
cbc.BuyerReference|BT-10|UBL PEPPOL cbc.BuyerReference||0..1||cbc:BuyerReference|
cac.InvoicePeriod|BG-14|UBL PEPPOL cac.InvoicePeriod||0..1||cac:InvoicePeriod|
cbc.StartDate|BT-73|UBL PEPPOL cbc.StartDate||0..1||cac:InvoicePeriod/cbc:StartDate|
cbc.EndDate|BT-74|UBL PEPPOL cbc.EndDate||0..1||cac:InvoicePeriod/cbc:EndDate|
cbc.DescriptionCode|BT-8|UBL PEPPOL cbc.DescriptionCode||0..1||cac:InvoicePeriod/cbc:DescriptionCode|
cac.OrderReference||UBL PEPPOL cac.OrderReference||0..1||cac:OrderReference|
cbc.ID|BT-13|UBL PEPPOL cbc.ID|X|1..1||cac:OrderReference/cbc:ID|
cbc.SalesOrderID|BT-14|UBL PEPPOL cbc.SalesOrderID||0..1||cac:OrderReference/cbc:SalesOrderID|
cbc.IssueDate|EXT|UBL PEPPOL cbc.IssueDate||0..1||cac:OrderReference/cbc:IssueDate|
cac.BillingReference|BG-3|UBL PEPPOL cac.BillingReference||0..n||cac:BillingReference|
cac.InvoiceDocumentReference||UBL PEPPOL cac.InvoiceDocumentReference|X|1..1||cac:BillingReference/cac:InvoiceDocumentReference|
cbc.ID|BT-25|UBL PEPPOL cbc.ID|X|1..1||cac:BillingReference/cac:InvoiceDocumentReference/cbc:ID|
cbc.IssueDate|BT-26|UBL PEPPOL cbc.IssueDate||0..1||cac:BillingReference/cac:InvoiceDocumentReference/cbc:IssueDate|
cac.AdditionalDocumentReference||UBL PEPPOL cac.AdditionalDocumentReference||0..1||cac:BillingReference/cac:AdditionalDocumentReference|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:BillingReference/cac:AdditionalDocumentReference/cbc:ID|
cbc.IssueDate|EXT|UBL PEPPOL cbc.IssueDate|X|1..1||cac:BillingReference/cac:AdditionalDocumentReference/cbc:IssueDate|
cac.DespatchDocumentReference||UBL PEPPOL cac.DespatchDocumentReference||0..1||cac:DespatchDocumentReference|
cbc.ID|BT-16|UBL PEPPOL cbc.ID|X|1..1||cac:DespatchDocumentReference/cbc:ID|
cbc.IssueDate|EXT|UBL PEPPOL cbc.IssueDate|X|1..1||cac:DespatchDocumentReference/cbc:IssueDate|
cac.ReceiptDocumentReference||UBL PEPPOL cac.ReceiptDocumentReference||0..1||cac:ReceiptDocumentReference|
cbc.ID|BT-15|UBL PEPPOL cbc.ID|X|1..1||cac:ReceiptDocumentReference/cbc:ID|
cac.OriginatorDocumentReference||UBL PEPPOL cac.OriginatorDocumentReference||0..1||cac:OriginatorDocumentReference|
cbc.ID|BT-17|UBL PEPPOL cbc.ID|X|1..1||cac:OriginatorDocumentReference/cbc:ID|
cac.ContractDocumentReference||UBL PEPPOL cac.ContractDocumentReference||0..1||cac:ContractDocumentReference|
cbc.ID|BT-12|UBL PEPPOL cbc.ID|X|1..1||cac:ContractDocumentReference/cbc:ID|
cac.AdditionalDocumentReference|BG-24|UBL PEPPOL cac.AdditionalDocumentReference||0..n||cac:AdditionalDocumentReference|
cbc.ID|BT-18|UBL PEPPOL cbc.ID|X|1..1||cac:AdditionalDocumentReference/cbc:ID|
@schemeID||UBL PEPPOL @schemeID||O||cac:AdditionalDocumentReference/cbc:ID/@schemeID|
cbc.DocumentTypeCode|BT-18|UBL PEPPOL cbc.DocumentTypeCode||0..1||cac:AdditionalDocumentReference/cbc:DocumentTypeCode|
cbc.DocumentDescription|BT-123|UBL PEPPOL cbc.DocumentDescription||0..1||cac:AdditionalDocumentReference/cbc:DocumentDescription|
cac.Attachment||UBL PEPPOL cac.Attachment||0..1||cac:AdditionalDocumentReference/cac:Attachment|
cbc.EmbeddedDocumentBinaryObject|BT-125|UBL PEPPOL cbc.EmbeddedDocumentBinaryObject||0..1||cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject|
@mimeCode|BT-125|UBL PEPPOL @mimeCode||M||cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@mimeCode|
@filename||UBL PEPPOL @filename||M||cac:AdditionalDocumentReference/cac:Attachment/cbc:EmbeddedDocumentBinaryObject/@filename|
cac.ExternalReference||UBL PEPPOL cac.ExternalReference||0..1||cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference|
cbc.URI|BT-124|UBL PEPPOL cbc.URI|X|1..1||cac:AdditionalDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI|
cac.ProjectReference||UBL PEPPOL cac.ProjectReference||0..1||cac:ProjectReference|
cbc.ID|BT-11|UBL PEPPOL cbc.ID|X|1..1||cac:ProjectReference/cbc:ID|
cac.AccountingSupplierParty|BG-4|UBL PEPPOL cac.AccountingSupplierParty|X|1..1||cac:AccountingSupplierParty|
cac.Party||UBL PEPPOL cac.Party|X|1..1||cac:AccountingSupplierParty/cac:Party|
cbc.EndpointID|BT-34|UBL PEPPOL cbc.EndpointID|X|1..1||cac:AccountingSupplierParty/cac:Party/cbc:EndpointID|
@schemeID||UBL PEPPOL @schemeID||M||cac:AccountingSupplierParty/cac:Party/cbc:EndpointID/@schemeID|
cac.PartyIdentification||UBL PEPPOL cac.PartyIdentification||0..n||cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification|
cbc.ID|BT-29|UBL PEPPOL cbc.ID|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID|
@schemeID||UBL PEPPOL @schemeID||O||cac:AccountingSupplierParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID|
cac.PartyName||UBL PEPPOL cac.PartyName||0..1||cac:AccountingSupplierParty/cac:Party/cac:PartyName|
cbc.Name|BT-28|UBL PEPPOL cbc.Name|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PartyName/cbc:Name|
cac.PostalAddress|BG-5|UBL PEPPOL cac.PostalAddress|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PostalAddress|
cbc.StreetName|BT-35|UBL PEPPOL cbc.StreetName||0..1||cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:StreetName|
cbc.AdditionalStreetName|BT-36|UBL PEPPOL cbc.AdditionalStreetName||0..1||cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName|
cbc.CityName|BT-37|UBL PEPPOL cbc.CityName||0..1||cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CityName|
cbc.PostalZone|BT-38|UBL PEPPOL cbc.PostalZone||0..1||cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:PostalZone|
cbc.CountrySubentity|BT-39|UBL PEPPOL cbc.CountrySubentity||0..1||cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity|
cac.AddressLine||UBL PEPPOL cac.AddressLine||0..1||cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine|
cbc.Line|BT-162|UBL PEPPOL cbc.Line|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line|
cac.Country||UBL PEPPOL cac.Country|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country|
cbc.IdentificationCode|BT-40|UBL PEPPOL cbc.IdentificationCode|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode|
cac.PartyTaxScheme||UBL PEPPOL cac.PartyTaxScheme|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme|
cbc.CompanyID|BT-31|UBL PEPPOL cbc.CompanyID|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID|
cbc.TaxLevelCode|EXT|UBL PEPPOL cbc.TaxLevelCode||0..1||cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cbc:TaxLevelCode|
cac.TaxScheme||UBL PEPPOL cac.TaxScheme|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme|
cbc.ID||UBL PEPPOL cbc.ID|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID|
cac.PartyLegalEntity||UBL PEPPOL cac.PartyLegalEntity|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity|
cbc.RegistrationName|BT-27|UBL PEPPOL cbc.RegistrationName|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName|
cbc.CompanyID|BT-30|UBL PEPPOL cbc.CompanyID|X|1..1||cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID|
@schemeID||UBL PEPPOL @schemeID||O||cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID|
cbc.CompanyLegalForm|BT-33|UBL PEPPOL cbc.CompanyLegalForm||0..1||cac:AccountingSupplierParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyLegalForm|
cac.Contact|BG-6|UBL PEPPOL cac.Contact||0..1||cac:AccountingSupplierParty/cac:Party/cac:Contact|
