campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
cbc.FamilyName|EXT|UBL PEPPOL cbc.FamilyName|X|1..1||cac:AccountingCustomerParty/cac:Party/cac:PowerOfAttorney/cac:AgentParty/cac:Person/cbc:FamilyName|
cac.PayeeParty|BG-10|UBL PEPPOL cac.PayeeParty||0..1||cac:PayeeParty|
cac.PartyIdentification||UBL PEPPOL cac.PartyIdentification||0..1||cac:PayeeParty/cac:PartyIdentification|
cbc.ID|BT-60|UBL PEPPOL cbc.ID|X|1..1||cac:PayeeParty/cac:PartyIdentification/cbc:ID|
@schemeID||UBL PEPPOL @schemeID||O||cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID|
cac.PartyName||UBL PEPPOL cac.PartyName|X|1..1||cac:PayeeParty/cac:PartyName|
cbc.Name|BT-59|UBL PEPPOL cbc.Name|X|1..1||cac:PayeeParty/cac:PartyName/cbc:Name|
cac.PartyLegalEntity||UBL PEPPOL cac.PartyLegalEntity||0..1||cac:PayeeParty/cac:PartyLegalEntity|
cbc.CompanyID|BT-61|UBL PEPPOL cbc.CompanyID|X|1..1||cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID|
@schemeID||UBL PEPPOL @schemeID||O||cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID|
cac.TaxRepresentativeParty|BG-11|UBL PEPPOL cac.TaxRepresentativeParty||0..1||cac:TaxRepresentativeParty|
cac.PartyIdentification|EXT|UBL PEPPOL cac.PartyIdentification||0..2||cac:TaxRepresentativeParty/cac:PartyIdentification|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:TaxRepresentativeParty/cac:PartyIdentification/cbc:ID|
cac.PartyName||UBL PEPPOL cac.PartyName|X|1..1||cac:TaxRepresentativeParty/cac:PartyName|
cbc.Name|BT-62|UBL PEPPOL cbc.Name|X|1..1||cac:TaxRepresentativeParty/cac:PartyName/cbc:Name|
cac.PostalAddress|BG-12|UBL PEPPOL cac.PostalAddress|X|1..1||cac:TaxRepresentativeParty/cac:PostalAddress|
cbc.StreetName|BT-64|UBL PEPPOL cbc.StreetName||0..1||cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName|
cbc.AdditionalStreetName|BT-65|UBL PEPPOL cbc.AdditionalStreetName||0..1||cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName|
cbc.CityName|BT-66|UBL PEPPOL cbc.CityName||0..1||cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName|
cbc.PostalZone|BT-67|UBL PEPPOL cbc.PostalZone||0..1||cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone|
cbc.CountrySubentity|BT-68|UBL PEPPOL cbc.CountrySubentity||0..1||cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity|
cac.AddressLine||UBL PEPPOL cac.AddressLine||0..1||cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine|
cbc.Line|BT-164|UBL PEPPOL cbc.Line|X|1..1||cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line|
cac.Country||UBL PEPPOL cac.Country|X|1..1||cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country|
cbc.IdentificationCode|BT-69|UBL PEPPOL cbc.IdentificationCode|X|1..1||cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode|
cac.PartyTaxScheme||UBL PEPPOL cac.PartyTaxScheme|X|1..1||cac:TaxRepresentativeParty/cac:PartyTaxScheme|
cbc.CompanyID|BT-63|UBL PEPPOL cbc.CompanyID|X|1..1||cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID|
cac.TaxScheme||UBL PEPPOL cac.TaxScheme|X|1..1||cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme|
cbc.ID||UBL PEPPOL cbc.ID|X|1..1||cac:TaxRepresentativeParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID|
cac.Delivery|BG-13|UBL PEPPOL cac.Delivery||0..1||cac:Delivery|
cbc.ActualDeliveryDate|BT-72|UBL PEPPOL cbc.ActualDeliveryDate||0..1||cac:Delivery/cbc:ActualDeliveryDate|
cac.DeliveryLocation||UBL PEPPOL cac.DeliveryLocation||0..1||cac:Delivery/cac:DeliveryLocation|
cbc.ID|BT-71|UBL PEPPOL cbc.ID||0..1||cac:Delivery/cac:DeliveryLocation/cbc:ID|
@schemeID||UBL PEPPOL @schemeID||O||cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID|
cac.Address|BG-15|UBL PEPPOL cac.Address||0..1||cac:Delivery/cac:DeliveryLocation/cac:Address|
cbc.StreetName|BT-75|UBL PEPPOL cbc.StreetName||0..1||cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:StreetName|
cbc.AdditionalStreetName|BT-76|UBL PEPPOL cbc.AdditionalStreetName||0..1||cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:AdditionalStreetName|
cbc.CityName|BT-77|UBL PEPPOL cbc.CityName||0..1||cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CityName|
cbc.PostalZone|BT-78|UBL PEPPOL cbc.PostalZone||0..1||cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:PostalZone|
cbc.CountrySubentity|BT-79|UBL PEPPOL cbc.CountrySubentity||0..1||cac:Delivery/cac:DeliveryLocation/cac:Address/cbc:CountrySubentity|
cac.AddressLine||UBL PEPPOL cac.AddressLine||0..1||cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine|
cbc.Line|BT-165|UBL PEPPOL cbc.Line|X|1..1||cac:Delivery/cac:DeliveryLocation/cac:Address/cac:AddressLine/cbc:Line|
cac.Country||UBL PEPPOL cac.Country|X|1..1||cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country|
cbc.IdentificationCode|BT-80|UBL PEPPOL cbc.IdentificationCode|X|1..1||cac:Delivery/cac:DeliveryLocation/cac:Address/cac:Country/cbc:IdentificationCode|
cac.CarrierParty|EXT|UBL PEPPOL cac.CarrierParty||0..1||cac:Delivery/cac:CarrierParty|
cac.PartyIdentification|EXT|UBL PEPPOL cac.PartyIdentification||0..1||cac:Delivery/cac:CarrierParty/cac:PartyIdentification|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:Delivery/cac:CarrierParty/cac:PartyIdentification/cbc:ID|
@schemeID|EXT|UBL PEPPOL @schemeID||O||cac:Delivery/cac:CarrierParty/cac:PartyIdentification/cbc:ID/@schemeID|
cac.PartyName|EXT|UBL PEPPOL cac.PartyName||0..1||cac:Delivery/cac:CarrierParty/cac:PartyName|
cbc.Name|BT-70|UBL PEPPOL cbc.Name|X|1..1||cac:Delivery/cac:CarrierParty/cac:PartyName/cbc:Name|
cac.PartyTaxScheme|EXT|UBL PEPPOL cac.PartyTaxScheme|X|1..1||cac:Delivery/cac:CarrierParty/cac:PartyTaxScheme|
cbc.CompanyID|EXT|UBL PEPPOL cbc.CompanyID|X|1..1||cac:Delivery/cac:CarrierParty/cac:PartyTaxScheme/cbc:CompanyID|
cac.TaxScheme|EXT|UBL PEPPOL cac.TaxScheme|X|1..1||cac:Delivery/cac:CarrierParty/cac:PartyTaxScheme/cac:TaxScheme|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:Delivery/cac:CarrierParty/cac:PartyTaxScheme/cac:TaxScheme/cbc:ID|
cac.Person|EXT|UBL PEPPOL cac.Person||0..1||cac:Delivery/cac:CarrierParty/cac:Person|
cbc.FirstName|EXT|UBL PEPPOL cbc.FirstName|X|1..1||cac:Delivery/cac:CarrierParty/cac:Person/cbc:FirstName|
cbc.FamilyName|EXT|UBL PEPPOL cbc.FamilyName|X|1..1||cac:Delivery/cac:CarrierParty/cac:Person/cbc:FamilyName|
cac.IdentityDocumentReference|EXT|UBL PEPPOL cac.IdentityDocumentReference||0..1||cac:Delivery/cac:CarrierParty/cac:Person/cac:IdentityDocumentReference|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:Delivery/cac:CarrierParty/cac:Person/cac:IdentityDocumentReference/cbc:ID|
cbc.DocumentTypeCode|EXT|UBL PEPPOL cbc.DocumentTypeCode|X|1..1||cac:Delivery/cac:CarrierParty/cac:Person/cac:IdentityDocumentReference/cbc:DocumentTypeCode|
cac.DeliveryParty||UBL PEPPOL cac.DeliveryParty||0..1||cac:Delivery/cac:DeliveryParty|
cac.PartyName||UBL PEPPOL cac.PartyName|X|1..1||cac:Delivery/cac:DeliveryParty/cac:PartyName|
cbc.Name||UBL PEPPOL cbc.Name|X|1..1||cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name|
cac.Despatch|EXT|UBL PEPPOL cac.Despatch||0..1||cac:Delivery/cac:Despatch|
cbc.Instructions|EXT|UBL PEPPOL cbc.Instructions||0..1||cac:Delivery/cac:Despatch/cbc:Instructions|
cbc.RequestedDespatchDate|EXT|UBL PEPPOL cbc.RequestedDespatchDate||0..1||cac:Delivery/cac:Despatch/cbc:RequestedDespatchDate|
cbc.RequestedDespatchTime|EXT|UBL PEPPOL cbc.RequestedDespatchTime||0..1||cac:Delivery/cac:Despatch/cbc:RequestedDespatchTime|
cbc.ActualDespatchDate|EXT|UBL PEPPOL cbc.ActualDespatchDate||0..1||cac:Delivery/cac:Despatch/cbc:ActualDespatchDate|
cac.Shipment|EXT|UBL PEPPOL cac.Shipment||0..1||cac:Delivery/cac:Shipment|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:Delivery/cac:Shipment/cbc:ID|
cbc.GrossWeightMeasure|EXT|UBL PEPPOL cbc.GrossWeightMeasure||0..1||cac:Delivery/cac:Shipment/cbc:GrossWeightMeasure|
@unitCode|EXT|UBL PEPPOL @unitCode||M||cac:Delivery/cac:Shipment/cbc:GrossWeightMeasure/@unitCode|
cbc.NetWeightMeasure|EXT|UBL PEPPOL cbc.NetWeightMeasure||0..1||cac:Delivery/cac:Shipment/cbc:NetWeightMeasure|
@unitCode|EXT|UBL PEPPOL @unitCode||M||cac:Delivery/cac:Shipment/cbc:NetWeightMeasure/@unitCode|
cbc.TotalTransportHandlingUnitQuantity|EXT|UBL PEPPOL cbc.TotalTransportHandlingUnitQuantity||0..1||cac:Delivery/cac:Shipment/cbc:TotalTransportHandlingUnitQuantity|
@unitCode|EXT|UBL PEPPOL @unitCode||M||cac:Delivery/cac:Shipment/cbc:TotalTransportHandlingUnitQuantity/@unitCode|
cac.GoodsItem|EXT|UBL PEPPOL cac.GoodsItem||0..1||cac:Delivery/cac:Shipment/cac:GoodsItem|
cbc.Description|EXT|UBL PEPPOL cbc.Description|X|1..1||cac:Delivery/cac:Shipment/cac:GoodsItem/cbc:Description|
cac.ShipmentStage|EXT|UBL PEPPOL cac.ShipmentStage||0..1||cac:Delivery/cac:Shipment/cac:ShipmentStage|
cbc.TransportMeansTypeCode|EXT|UBL PEPPOL cbc.TransportMeansTypeCode|X|1..1||cac:Delivery/cac:Shipment/cac:ShipmentStage/cbc:TransportMeansTypeCode|
cac.DeliveryTerms|EXT|UBL PEPPOL cac.DeliveryTerms||0..1||cac:DeliveryTerms|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:DeliveryTerms/cbc:ID|
@schemeID|EXT|UBL PEPPOL @schemeID||O||cac:DeliveryTerms/cbc:ID/@schemeID|
cac.PaymentMeans|BG-16|UBL PEPPOL cac.PaymentMeans||1..n||cac:PaymentMeans|
cbc.PaymentMeansCode|BT-81|UBL PEPPOL cbc.PaymentMeansCode|X|1..1||cac:PaymentMeans/cbc:PaymentMeansCode|
@name|BT-82|UBL PEPPOL @name||O||cac:PaymentMeans/cbc:PaymentMeansCode/@name|
cbc.PaymentID|BT-83|UBL PEPPOL cbc.PaymentID||0..1||cac:PaymentMeans/cbc:PaymentID|
cac.CardAccount|BG-18|UBL PEPPOL cac.CardAccount||0..1||cac:PaymentMeans/cac:CardAccount|
cbc.PrimaryAccountNumberID|BT-87|UBL PEPPOL cbc.PrimaryAccountNumberID|X|1..1||cac:PaymentMeans/cac:CardAccount/cbc:PrimaryAccountNumberID|
cbc.NetworkID||UBL PEPPOL cbc.NetworkID|X|1..1||cac:PaymentMeans/cac:CardAccount/cbc:NetworkID|
cbc.HolderName|BT-88|UBL PEPPOL cbc.HolderName||0..1||cac:PaymentMeans/cac:CardAccount/cbc:HolderName|
cac.PayeeFinancialAccount|BG-17|UBL PEPPOL cac.PayeeFinancialAccount||0..1||cac:PaymentMeans/cac:PayeeFinancialAccount|
cbc.ID|BT-84|UBL PEPPOL cbc.ID|X|1..1||cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:ID|
cbc.Name|BT-85|UBL PEPPOL cbc.Name||0..1||cac:PaymentMeans/cac:PayeeFinancialAccount/cbc:Name|
cac.FinancialInstitutionBranch||UBL PEPPOL cac.FinancialInstitutionBranch||0..1||cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch|
cbc.ID|BT-86|UBL PEPPOL cbc.ID|X|1..1||cac:PaymentMeans/cac:PayeeFinancialAccount/cac:FinancialInstitutionBranch/cbc:ID|
cac.PaymentMandate|BG-19|UBL PEPPOL cac.PaymentMandate||0..1||cac:PaymentMeans/cac:PaymentMandate|
cbc.ID|BT-89|UBL PEPPOL cbc.ID||0..1||cac:PaymentMeans/cac:PaymentMandate/cbc:ID|
cac.PayerFinancialAccount||UBL PEPPOL cac.PayerFinancialAccount||0..1||cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount|
cbc.ID|BT-91|UBL PEPPOL cbc.ID|X|1..1||cac:PaymentMeans/cac:PaymentMandate/cac:PayerFinancialAccount/cbc:ID|
cac.PaymentTerms||UBL PEPPOL cac.PaymentTerms|X|1..1||cac:PaymentTerms|
cbc.Note|BT-20|UBL PEPPOL cbc.Note|X|1..1||cac:PaymentTerms/cbc:Note|
cbc.SettlementDiscountAmount|EXT|UBL PEPPOL cbc.SettlementDiscountAmount||0..1||cac:PaymentTerms/cbc:SettlementDiscountAmount|
@currencyID|EXT|UBL PEPPOL @currencyID||M||cac:PaymentTerms/cbc:SettlementDiscountAmount/@currencyID|
cbc.PenaltyAmount|EXT|UBL PEPPOL cbc.PenaltyAmount||0..1||cac:PaymentTerms/cbc:PenaltyAmount|
@currencyID|EXT|UBL PEPPOL @currencyID||M||cac:PaymentTerms/cbc:PenaltyAmount/@currencyID|
cac.SettlementPeriod|EXT|UBL PEPPOL cac.SettlementPeriod||0..1||cac:PaymentTerms/cac:SettlementPeriod|
cbc.EndDate|EXT|UBL PEPPOL cbc.EndDate||0..1||cac:PaymentTerms/cac:SettlementPeriod/cbc:EndDate|
cac.PenaltyPeriod|EXT|UBL PEPPOL cac.PenaltyPeriod||0..1||cac:PaymentTerms/cac:PenaltyPeriod|
cbc.StartDate|EXT|UBL PEPPOL cbc.StartDate||0..1||cac:PaymentTerms/cac:PenaltyPeriod/cbc:StartDate|
cac.AllowanceCharge|BG-20, BG-21|UBL PEPPOL cac.AllowanceCharge||0..n||cac:AllowanceCharge|
cbc.ChargeIndicator||UBL PEPPOL cbc.ChargeIndicator|X|1..1||cac:AllowanceCharge/cbc:ChargeIndicator|
cbc.AllowanceChargeReasonCode|BT-98|UBL PEPPOL cbc.AllowanceChargeReasonCode||0..1||cac:AllowanceCharge/cbc:AllowanceChargeReasonCode|
cbc.AllowanceChargeReason|BT-97|UBL PEPPOL cbc.AllowanceChargeReason||0..1||cac:AllowanceCharge/cbc:AllowanceChargeReason|
cbc.MultiplierFactorNumeric|BT-94|UBL PEPPOL cbc.MultiplierFactorNumeric||0..1||cac:AllowanceCharge/cbc:MultiplierFactorNumeric|
cbc.Amount|BT-92|UBL PEPPOL cbc.Amount|X|1..1||cac:AllowanceCharge/cbc:Amount|
@currencyID||UBL PEPPOL @currencyID||M||cac:AllowanceCharge/cbc:Amount/@currencyID|
cbc.BaseAmount|BT-93|UBL PEPPOL cbc.BaseAmount||0..1||cac:AllowanceCharge/cbc:BaseAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:AllowanceCharge/cbc:BaseAmount/@currencyID|
cac.TaxCategory||UBL PEPPOL cac.TaxCategory|X|1..1||cac:AllowanceCharge/cac:TaxCategory|
cbc.ID|BT-95|UBL PEPPOL cbc.ID|X|1..1||cac:AllowanceCharge/cac:TaxCategory/cbc:ID|
cbc.Percent|BT-96|UBL PEPPOL cbc.Percent||0..1||cac:AllowanceCharge/cac:TaxCategory/cbc:Percent|
cac.TaxScheme||UBL PEPPOL cac.TaxScheme|X|1..1||cac:AllowanceCharge/cac:TaxCategory/cac:TaxScheme|
cbc.ID||UBL PEPPOL cbc.ID|X|1..1||cac:AllowanceCharge/cac:TaxCategory/cac:TaxScheme/cbc:ID|
cac.TaxTotal||UBL PEPPOL cac.TaxTotal||1..2||cac:TaxTotal|
cbc.TaxAmount|BT-110|UBL PEPPOL cbc.TaxAmount|X|1..1||cac:TaxTotal/cbc:TaxAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:TaxTotal/cbc:TaxAmount/@currencyID|
cac.TaxSubtotal|BG-23|UBL PEPPOL cac.TaxSubtotal||0..n||cac:TaxTotal/cac:TaxSubtotal|
cbc.TaxableAmount|BT-116|UBL PEPPOL cbc.TaxableAmount|X|1..1||cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:TaxTotal/cac:TaxSubtotal/cbc:TaxableAmount/@currencyID|
cbc.TaxAmount|BT-117|UBL PEPPOL cbc.TaxAmount|X|1..1||cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:TaxTotal/cac:TaxSubtotal/cbc:TaxAmount/@currencyID|
cac.TaxCategory||UBL PEPPOL cac.TaxCategory|X|1..1||cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory|
cbc.ID|BT-118|UBL PEPPOL cbc.ID|X|1..1||cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID|
cbc.Percent|BT-119|UBL PEPPOL cbc.Percent||0..1||cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent|
cbc.TaxExemptionReasonCode|BT-121|UBL PEPPOL cbc.TaxExemptionReasonCode||0..1||cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReasonCode|
cbc.TaxExemptionReason|BT-120|UBL PEPPOL cbc.TaxExemptionReason||0..1||cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:TaxExemptionReason|
cac.TaxScheme||UBL PEPPOL cac.TaxScheme|X|1..1||cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme|
cbc.ID||UBL PEPPOL cbc.ID|X|1..1||cac:TaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:ID|
cac.WithholdingTaxTotal|EXT|UBL PEPPOL cac.WithholdingTaxTotal||0..1||cac:WithholdingTaxTotal|
cbc.TaxAmount|EXT|UBL PEPPOL cbc.TaxAmount|X|1..1||cac:WithholdingTaxTotal/cbc:TaxAmount|
@currencyID|EXT|UBL PEPPOL @currencyID||M||cac:WithholdingTaxTotal/cbc:TaxAmount/@currencyID|
cac.TaxSubtotal|EXT|UBL PEPPOL cac.TaxSubtotal||1..n||cac:WithholdingTaxTotal/cac:TaxSubtotal|
cbc.TaxAmount|EXT|UBL PEPPOL cbc.TaxAmount|X|1..1||cac:WithholdingTaxTotal/cac:TaxSubtotal/cbc:TaxAmount|
@currencyID|EXT|UBL PEPPOL @currencyID||M||cac:WithholdingTaxTotal/cac:TaxSubtotal/cbc:TaxAmount/@currencyID|
cac.TaxCategory|EXT|UBL PEPPOL cac.TaxCategory|X|1..1||cac:WithholdingTaxTotal/cac:TaxSubtotal/cac:TaxCategory|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:WithholdingTaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:ID|
cbc.Percent|EXT|UBL PEPPOL cbc.Percent|X|1..1||cac:WithholdingTaxTotal/cac:TaxSubtotal/cac:TaxCategory/cbc:Percent|
cac.TaxScheme|EXT|UBL PEPPOL cac.TaxScheme|X|1..1||cac:WithholdingTaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:WithholdingTaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:ID|
cbc.TaxTypeCode|EXT|UBL PEPPOL cbc.TaxTypeCode|X|1..1||cac:WithholdingTaxTotal/cac:TaxSubtotal/cac:TaxCategory/cac:TaxScheme/cbc:TaxTypeCode|
cac.LegalMonetaryTotal|BG-22|UBL PEPPOL cac.LegalMonetaryTotal|X|1..1||cac:LegalMonetaryTotal|
cbc.LineExtensionAmount|BT-106|UBL PEPPOL cbc.LineExtensionAmount|X|1..1||cac:LegalMonetaryTotal/cbc:LineExtensionAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:LegalMonetaryTotal/cbc:LineExtensionAmount/@currencyID|
cbc.TaxExclusiveAmount|BT-109|UBL PEPPOL cbc.TaxExclusiveAmount|X|1..1||cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:LegalMonetaryTotal/cbc:TaxExclusiveAmount/@currencyID|
cbc.TaxInclusiveAmount|BT-112|UBL PEPPOL cbc.TaxInclusiveAmount|X|1..1||cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:LegalMonetaryTotal/cbc:TaxInclusiveAmount/@currencyID|
cbc.AllowanceTotalAmount|BT-107|UBL PEPPOL cbc.AllowanceTotalAmount||0..1||cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:LegalMonetaryTotal/cbc:AllowanceTotalAmount/@currencyID|
cbc.ChargeTotalAmount|BT-108|UBL PEPPOL cbc.ChargeTotalAmount||0..1||cac:LegalMonetaryTotal/cbc:ChargeTotalAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:LegalMonetaryTotal/cbc:ChargeTotalAmount/@currencyID|
cbc.PrepaidAmount|BT-113|UBL PEPPOL cbc.PrepaidAmount||0..1||cac:LegalMonetaryTotal/cbc:PrepaidAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:LegalMonetaryTotal/cbc:PrepaidAmount/@currencyID|
cbc.PayableRoundingAmount|BT-114|UBL PEPPOL cbc.PayableRoundingAmount||0..1||cac:LegalMonetaryTotal/cbc:PayableRoundingAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:LegalMonetaryTotal/cbc:PayableRoundingAmount/@currencyID|
cbc.PayableAmount|BT-115|UBL PEPPOL cbc.PayableAmount|X|1..1||cac:LegalMonetaryTotal/cbc:PayableAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:LegalMonetaryTotal/cbc:PayableAmount/@currencyID|
cac.InvoiceLine|BG-25|UBL PEPPOL cac.InvoiceLine||1..n||cac:InvoiceLine|
cbc.ID|BT-126|UBL PEPPOL cbc.ID|X|1..1||cac:InvoiceLine/cbc:ID|
cbc.Note|BT-127|UBL PEPPOL cbc.Note||0..1||cac:InvoiceLine/cbc:Note|
cbc.InvoicedQuantity|BT-129|UBL PEPPOL cbc.InvoicedQuantity|X|1..1||cac:InvoiceLine/cbc:InvoicedQuantity|
@unitCode|BT-130|UBL PEPPOL @unitCode||M||cac:InvoiceLine/cbc:InvoicedQuantity/@unitCode|
cbc.LineExtensionAmount|BT-131|UBL PEPPOL cbc.LineExtensionAmount|X|1..1||cac:InvoiceLine/cbc:LineExtensionAmount|
@currencyID||UBL PEPPOL @currencyID||M||cac:InvoiceLine/cbc:LineExtensionAmount/@currencyID|
cbc.AccountingCost|BT-133|UBL PEPPOL cbc.AccountingCost||0..1||cac:InvoiceLine/cbc:AccountingCost|
cac.InvoicePeriod|BG-26|UBL PEPPOL cac.InvoicePeriod||0..1||cac:InvoiceLine/cac:InvoicePeriod|
cbc.StartDate|BT-134|UBL PEPPOL cbc.StartDate||0..1||cac:InvoiceLine/cac:InvoicePeriod/cbc:StartDate|
cbc.EndDate|BT-135|UBL PEPPOL cbc.EndDate||0..1||cac:InvoiceLine/cac:InvoicePeriod/cbc:EndDate|
cac.OrderLineReference||UBL PEPPOL cac.OrderLineReference||0..1||cac:InvoiceLine/cac:OrderLineReference|
cbc.LineID|BT-132|UBL PEPPOL cbc.LineID|X|1..1||cac:InvoiceLine/cac:OrderLineReference/cbc:LineID|
cac.OrderReference|EXT|UBL PEPPOL cac.OrderReference||0..1||cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference/cbc:ID|
cbc.IssueDate|EXT|UBL PEPPOL cbc.IssueDate|X|1..1||cac:InvoiceLine/cac:OrderLineReference/cac:OrderReference/cbc:IssueDate|
cac.DespatchLineReference|EXT|UBL PEPPOL cac.DespatchLineReference||0..n||cac:InvoiceLine/cac:DespatchLineReference|
cbc.LineID|EXT|UBL PEPPOL cbc.LineID|X|1..1||cac:InvoiceLine/cac:DespatchLineReference/cbc:LineID|
cac.DocumentReference|EXT|UBL PEPPOL cac.DocumentReference|X|1..1||cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference|
cbc.ID|EXT|UBL PEPPOL cbc.ID|X|1..1||cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference/cbc:ID|
cbc.IssueDate|EXT|UBL PEPPOL cbc.IssueDate|X|1..1||cac:InvoiceLine/cac:DespatchLineReference/cac:DocumentReference/cbc:IssueDate|
cac.DocumentReference||UBL PEPPOL cac.DocumentReference||0..n||cac:InvoiceLine/cac:DocumentReference|
cbc.ID|BT-128|UBL PEPPOL cbc.ID|X|1..1||cac:InvoiceLine/cac:DocumentReference/cbc:ID|
@schemeID||UBL PEPPOL @schemeID||O||cac:InvoiceLine/cac:DocumentReference/cbc:ID/@schemeID|
cbc.DocumentTypeCode|BT-128|UBL PEPPOL cbc.DocumentTypeCode|X|1..1||cac:InvoiceLine/cac:DocumentReference/cbc:DocumentTypeCode|
cac.AllowanceCharge|BG-27, BG-28|UBL PEPPOL cac.AllowanceCharge||0..n||cac:InvoiceLine/cac:AllowanceCharge|
cbc.ChargeIndicator||UBL PEPPOL cbc.ChargeIndicator|X|1..1||cac:InvoiceLine/cac:AllowanceCharge/cbc:ChargeIndicator|
cbc.AllowanceChargeReasonCode|BT-140|UBL PEPPOL cbc.AllowanceChargeReasonCode||0..1||cac:InvoiceLine/cac:AllowanceCharge/cbc:AllowanceChargeReasonCode|
cbc.AllowanceChargeReason|BT-139|UBL PEPPOL cbc.AllowanceChargeReason||0..1||cac:InvoiceLine/cac:AllowanceCharge/cbc:AllowanceChargeReason|
cbc.MultiplierFactorNumeric|BT-138|UBL PEPPOL cbc.MultiplierFactorNumeric||0..1||cac:InvoiceLine/cac:AllowanceCharge/cbc:MultiplierFactorNumeric|
cbc.Amount|BT-136|UBL PEPPOL cbc.Amount|X|1..1||cac:InvoiceLine/cac:AllowanceCharge/cbc:Amount|
@currencyID||UBL PEPPOL @currencyID||M||cac:InvoiceLine/cac:AllowanceCharge/cbc:Amount/@currencyID|
cbc.BaseAmount|BT-137|UBL PEPPOL cbc.BaseAmount||0..1||cac:InvoiceLine/cac:AllowanceCharge/cbc:BaseAmount|
