campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath
E1EDK01.CURCY,Currency,Currency,SI,1..1,,,67.0,3.0,/IDOC/E1EDK01/CURCY
E1EDK01.HWAER,EDI local currency,EDI local currency,NO,0..1,,,67.0,3.0,/IDOC/E1EDK01/HWAER
E1EDK01.WKURS,Exchange rate,Exchange rate,NO,0..1,,,73.0,7.0,/IDOC/E1EDK01/WKURS
E1EDK01.ZTERM,Terms of payment key,Terms of payment key,NO,0..1,,,85.0,4.0,/IDOC/E1EDK01/ZTERM
E1EDK01.KUNDEUINR,VAT Registration Number,VAT Registration Number,NO,0..1,,,102.0,11.0,/IDOC/E1EDK01/KUNDEUINR
E1EDK01.EIGENUINR,VAT Registration Number,VAT Registration Number,NO,0..1,,,41.0,20.0,/IDOC/E1EDK01/EIGENUINR
E1EDK01.BSART,Document Type,Document Type,NO,0..1,,,142.0,4.0,/IDOC/E1EDK01/BSART
E1EDK01.BELNR,IDOC document number,IDOC document number,SI,1..1,,,146.0,10.0,/IDOC/E1EDK01/BELNR
E1EDK01.NTGEW,Net weight,Net weight,NO,0..1,,,100.0,15.0,/IDOC/E1EDK01/NTGEW
E1EDK01.BRGEW,Net weight,Net weight,NO,0..1,,,199.0,5.0,/IDOC/E1EDK01/BRGEW
E1EDK01.GEWEI,Weight unit,Weight unit,NO,0..1,,,217.0,2.0,/IDOC/E1EDK01/GEWEI
E1EDK01.RECIPNT_NO,Number of recipient,Number of recipient (for contr,NO,0..1,,,275.0,10.0,/IDOC/E1EDK01/RECIPNT_NO
E1EDK01.FKTYP,Billing Category,Billing Category,NO,0..1,,,153.0,64.0,/IDOC/E1EDK01/FKTYP
E1EDKA1.PARVW,Partner function,Partner function (e.g. sold-to,NO,0..1,,,217.0,2.0,/IDOC/E1EDKA1/PARVW
E1EDKA1.LIFNR,Supplier Number at Customer Lo,Supplier Number at Customer Lo,NO,0..1,,,87.0,6.0,/IDOC/E1EDKA1/LIFNR
E1EDKA1.NAME1,Name 1,Name 1,NO,0..1,,,100.0,25.0,/IDOC/E1EDKA1/NAME1
E1EDKA1.STRAS,Street and house number 1,Street and house number 1,NO,0..1,,,240.0,30.0,/IDOC/E1EDKA1/STRAS
E1EDKA1.ORT01,City,City,NO,0..1,,,345.0,9.0,/IDOC/E1EDKA1/ORT01
