campo|business_term|spiegazione|obbligatorio|numerosità|condizionalità|offset|lunghezza
cbc.Line|BT-100|UBL PEPPOL field cbc.Line|||||
cac.Country|BT-101|UBL PEPPOL field cac.Country|||||
cbc.IdentificationCode|BT-102|UBL PEPPOL field cbc.IdentificationCode|||||
cac.PartyTaxScheme|BT-103|UBL PEPPOL field cac.PartyTaxScheme|||||
cbc.CompanyID|BT-104|UBL PEPPOL field cbc.CompanyID|||||
cbc.TaxLevelCode|BT-105|UBL PEPPOL field cbc.TaxLevelCode|||||
cac.TaxScheme|BT-106|UBL PEPPOL field cac.TaxScheme|||||
cbc.ID|BT-107|UBL PEPPOL field cbc.ID|||||
cac.PartyLegalEntity|BT-108|UBL PEPPOL field cac.PartyLegalEntity|||||
cbc.RegistrationName|BT-109|UBL PEPPOL field cbc.RegistrationName|||||
cbc.CompanyID|BT-110|UBL PEPPOL field cbc.CompanyID|||||
@schemeID|BT-111|UBL PEPPOL field @schemeID|||||
cbc.CompanyLegalForm|BT-112|UBL PEPPOL field cbc.CompanyLegalForm|||||
cac.Contact|BT-113|UBL PEPPOL field cac.Contact|||||
cbc.Name|BT-114|UBL PEPPOL field cbc.Name|||||
cbc.Telephone|BT-115|UBL PEPPOL field cbc.Telephone|||||
cbc.ElectronicMail|BT-116|UBL PEPPOL field cbc.ElectronicMail|||||
cac.AgentParty|BT-117|UBL PEPPOL field cac.AgentParty|||||
cac.PostalAddress|BT-118|UBL PEPPOL field cac.PostalAddress|||||
cbc.StreetName|BT-119|UBL PEPPOL field cbc.StreetName|||||
cbc.CityName|BT-120|UBL PEPPOL field cbc.CityName|||||
cbc.PostalZone|BT-121|UBL PEPPOL field cbc.PostalZone|||||
cbc.CountrySubentity|BT-122|UBL PEPPOL field cbc.CountrySubentity|||||
cac.Country|BT-123|UBL PEPPOL field cac.Country|||||
cbc.IdentificationCode|BT-124|UBL PEPPOL field cbc.IdentificationCode|||||
cac.ServiceProviderParty|BT-125|UBL PEPPOL field cac.ServiceProviderParty|||||
cac.Party|BT-126|UBL PEPPOL field cac.Party|||||
cac.PartyIdentification|BT-127|UBL PEPPOL field cac.PartyIdentification|||||
cbc.ID|BT-128|UBL PEPPOL field cbc.ID|||||
