campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath
E1EDP03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,1..N,IF ier for idoc date segmen,,3497,3,/IDOC/E1EDP03/IDDAT
E1EDP03.DATUM,Date,Date,SI,1..N,,,3500,8,/IDOC/E1EDP03/DATUM
E1EDP03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,1..N,IF ier for idoc date segmen,,3508,3,/IDOC/E1EDP03/IDDAT
E1EDP03.DATUM,Date,Date,SI,1..N,,,3511,8,/IDOC/E1EDP03/DATUM
E1EDP03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,1..N,IF ier for idoc date segmen,,3519,3,/IDOC/E1EDP03/IDDAT
E1EDP03.DATUM,Date,Date,SI,1..N,,,3522,8,/IDOC/E1EDP03/DATUM
E1EDP03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,1..N,IF ier for idoc date segmen,,3530,3,/IDOC/E1EDP03/IDDAT
E1EDP03.DATUM,Date,Date,SI,1..N,,,3533,8,/IDOC/E1EDP03/DATUM
E1EDP19.QUALF,IDOC object identification suc,IDOC object identification suc,NO,1..N,IF ication suc,,3541,3,/IDOC/E1EDP19/QUALF
E1EDP19.IDTNR,IDOC material ID,IDOC material ID,NO,1..N,,,3544,20,/IDOC/E1EDP19/IDTNR
E1EDP19.KTEXT,IDOC short text,IDOC short text,NO,1..N,,,3564,40,/IDOC/E1EDP19/KTEXT
E1EDP19.IDTNR_LONG,IDOC material ID,IDOC material ID,NO,1..N,,,3604,20,/IDOC/E1EDP19/IDTNR_LONG
E1EDP05.ALCKZ,Surcharge or discount indicato,Surcharge or discount indicato,NO,1..N,,,3624,3,/IDOC/E1EDP05/ALCKZ
E1EDP05.KOTXT,Condition text,Condition text,NO,1..N,,,3627,14,/IDOC/E1EDP05/KOTXT
E1EDP05.BETRG,Fixed surcharge/discount on to,Fixed surcharge/discount on to,NO,1..N,,,3641,15,/IDOC/E1EDP05/BETRG
E1EDP05.KRATE,Condition record per unit,Condition record per unit,NO,1..N,,,3656,20,/IDOC/E1EDP05/KRATE
E1EDP05.UPRBS,Price unit,Price unit,NO,1..N,,,3676,10,/IDOC/E1EDP05/UPRBS
E1EDP05.MEAUN,Unit of measurement,Unit of measurement,NO,1..N,,,3686,10,/IDOC/E1EDP05/MEAUN
E1EDP05.KOEIN,Currency,Currency,NO,1..N,,,3696,10,/IDOC/E1EDP05/KOEIN
E1EDP05.KOBAS,Base value to which condition,Base value to which condition,NO,1..N,,,3706,10,/IDOC/E1EDP05/KOBAS
E1EDP04.MWSKZ,VAT indicator,VAT indicator,NO,1..N,,,3716,2,/IDOC/E1EDP04/MWSKZ
E1EDP04.MSATZ,VAT rate,VAT rate,NO,1..N,,,3718,5,/IDOC/E1EDP04/MSATZ
E1EDP04.MWSBT,Value added tax amount,Value added tax amount,NO,1..N,,,3723,15,/IDOC/E1EDP04/MWSBT
E1EDP04.TXDAT,Date for defining tax rates,Date for defining tax rates,NO,1..N,,,3738,20,/IDOC/E1EDP04/TXDAT
