campo,business_term,spiegazione,obbligatorio,numerosità,condizionalità,calcolo,offset,lunghezza,xmlpath
E1EDKA1.PSTLZ,Postal code,Postal code,NO,0..1,,,995,10,/IDOC/E1EDKA1/PSTLZ
E1EDKA1.LAND1,Country Key,Country Key,NO,0..1,,,1005,2,/IDOC/E1EDKA1/LAND1
E1EDKA1.SPRAS,Language key,Language key,NO,0..1,,,1007,20,/IDOC/E1EDKA1/SPRAS
E1EDKA1.ORT02,District,District,NO,0..1,,,1027,20,/IDOC/E1EDKA1/ORT02
E1EDKA1.REGIO,Region,Region,NO,0..1,,,1047,3,/IDOC/E1EDKA1/REGIO
E1EDKA1.SPRAS_ISO,2-Character SAP Language Code,2-Character SAP Language Code,NO,0..1,,,1050,20,/IDOC/E1EDKA1/SPRAS_ISO
E1EDKA1.PARVW,Partner function,Partner function (e.g. sold-to,NO,0..1,,,1070,2,/IDOC/E1EDKA1/PARVW
E1EDKA1.PARTN,Partner number,Partner number,NO,0..1,,,1072,20,/IDOC/E1EDKA1/PARTN
E1EDKA1.LIFNR,Supplier Number at Customer Lo,Supplier Number at Customer Lo,NO,0..1,,,1092,10,/IDOC/E1EDKA1/LIFNR
E1EDKA1.NAME1,Name 1,Name 1,NO,0..1,,,1102,35,/IDOC/E1EDKA1/NAME1
E1EDKA1.STRAS,Street and house number 1,Street and house number 1,NO,0..1,,,1137,35,/IDOC/E1EDKA1/STRAS
E1EDKA1.ORT01,City,City,NO,0..1,,,1172,35,/IDOC/E1EDKA1/ORT01
E1EDKA1.PSTLZ,Postal code,Postal code,NO,0..1,,,1207,10,/IDOC/E1EDKA1/PSTLZ
E1EDKA1.LAND1,Country Key,Country Key,NO,0..1,,,1217,2,/IDOC/E1EDKA1/LAND1
E1EDKA1.SPRAS,Language key,Language key,NO,0..1,,,1219,20,/IDOC/E1EDKA1/SPRAS
E1EDKA1.ORT02,District,District,NO,0..1,,,1239,20,/IDOC/E1EDKA1/ORT02
E1EDKA1.REGIO,Region,Region,NO,0..1,,,1259,3,/IDOC/E1EDKA1/REGIO
E1EDKA1.SPRAS_ISO,2-Character SAP Language Code,2-Character SAP Language Code,NO,0..1,,,1262,20,/IDOC/E1EDKA1/SPRAS_ISO
E1EDKA1.PARVW,Partner function,Partner function (e.g. sold-to,NO,0..1,,,1282,2,/IDOC/E1EDKA1/PARVW
E1EDKA1.LIFNR,Supplier Number at Customer Lo,Supplier Number at Customer Lo,NO,0..1,,,1284,10,/IDOC/E1EDKA1/LIFNR
E1EDKA1.NAME1,Name 1,Name 1,NO,0..1,,,1294,35,/IDOC/E1EDKA1/NAME1
E1EDKA1.STRAS,Street and house number 1,Street and house number 1,NO,0..1,,,1329,35,/IDOC/E1EDKA1/STRAS
E1EDKA1.ORT01,City,City,NO,0..1,,,1364,35,/IDOC/E1EDKA1/ORT01
E1EDKA1.COUNC,County code,County code,NO,0..1,,,1399,20,/IDOC/E1EDKA1/COUNC
E1EDKA1.PSTLZ,Postal code,Postal code,NO,0..1,,,1419,10,/IDOC/E1EDKA1/PSTLZ
E1EDKA1.LAND1,Country Key,Country Key,NO,0..1,,,1429,2,/IDOC/E1EDKA1/LAND1
E1EDKA1.TELF1,1st telephone number of contac,1st telephone number of contac,NO,0..1,,,1431,16,/IDOC/E1EDKA1/TELF1
E1EDKA1.REGIO,Region,Region,NO,0..1,,,1447,3,/IDOC/E1EDKA1/REGIO
E1EDK02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,0..1,IF ier reference docum,,1450,3,/IDOC/E1EDK02/QUALF
E1EDK02.BELNR,IDOC document number,IDOC document number,SI,1..1,,,1453,35,/IDOC/E1EDK02/BELNR
E1EDK02.DATUM,IDOC,IDOC: Date,SI,1..1,,,1488,8,/IDOC/E1EDK02/DATUM
E1EDK02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,0..1,IF ier reference docum,,1496,3,/IDOC/E1EDK02/QUALF
E1EDK02.BELNR,IDOC document number,IDOC document number,SI,1..1,,,1499,35,/IDOC/E1EDK02/BELNR
E1EDK02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,0..1,IF ier reference docum,,1534,3,/IDOC/E1EDK02/QUALF
E1EDK02.BELNR,IDOC document number,IDOC document number,SI,1..1,,,1537,35,/IDOC/E1EDK02/BELNR
E1EDK02.DATUM,IDOC,IDOC: Date,SI,1..1,,,1572,8,/IDOC/E1EDK02/DATUM
E1EDK02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,0..1,IF ier reference docum,,1580,3,/IDOC/E1EDK02/QUALF
E1EDK02.BELNR,IDOC document number,IDOC document number,SI,1..1,,,1583,35,/IDOC/E1EDK02/BELNR
E1EDK02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,0..1,IF ier reference docum,,1618,3,/IDOC/E1EDK02/QUALF
E1EDK02.BELNR,IDOC document number,IDOC document number,SI,1..1,,,1621,35,/IDOC/E1EDK02/BELNR
E1EDK02.QUALF,IDOC qualifier reference docum,IDOC qualifier reference docum,NO,0..1,IF ier reference docum,,1656,3,/IDOC/E1EDK02/QUALF
E1EDK02.BELNR,IDOC document number,IDOC document number,SI,1..1,,,1659,35,/IDOC/E1EDK02/BELNR
E1EDK03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,0..1,IF ier for idoc date segmen,,1694,3,/IDOC/E1EDK03/IDDAT
E1EDK03.DATUM,IDOC,IDOC: Date,SI,1..1,,,1697,8,/IDOC/E1EDK03/DATUM
E1EDK03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,0..1,IF ier for idoc date segmen,,1705,3,/IDOC/E1EDK03/IDDAT
E1EDK03.DATUM,IDOC,IDOC: Date,SI,1..1,,,1708,8,/IDOC/E1EDK03/DATUM
E1EDK03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,0..1,IF ier for idoc date segmen,,1716,3,/IDOC/E1EDK03/IDDAT
E1EDK03.DATUM,IDOC,IDOC: Date,SI,1..1,,,1719,8,/IDOC/E1EDK03/DATUM
E1EDK03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,0..1,IF ier for idoc date segmen,,1727,3,/IDOC/E1EDK03/IDDAT
E1EDK03.DATUM,IDOC,IDOC: Date,SI,1..1,,,1730,8,/IDOC/E1EDK03/DATUM
E1EDK03.IDDAT,Qualifier for IDOC date segmen,Qualifier for IDOC date segmen,NO,0..1,IF ier for idoc date segmen,,1738,3,/IDOC/E1EDK03/IDDAT
