segmento completo,Description,offset,lunghezza,valore rilevato
E1EDK03.IDDAT,Qualifier for IDOC date segmen,,,
E1EDK03.DATUM,IDOC: Date,67,8,20240630
E1EDK03.SEGNUM,Segment Number,,,
E1EDK03.SEGNAM,Segment Name,,,
E1EDK03.IDDAT,Qualifier for IDOC date segmen,,,
E1EDK03.DATUM,IDOC: Date,,,
E1EDK04.SEGNUM,Segment Number,,,
E1EDK04.SEGNAM,Segment Name,,,
E1EDK04.MWSKZ,VAT indicator,,,
E1EDK04.MSATZ,VAT rate,,,
E1EDK04.MWSBT,Value added tax amount,,,
E1EDK17.SEGNUM,Segment Number,,,
E1EDK17.SEGNAM,Segment Name,,,
E1EDK17.QUALF,IDOC qualifier: Terms of deliv,,,
E1EDK17.LKOND,IDOC delivery condition code,,,
E1EDK17.SEGNUM,Segment Number,,,
E1EDK17.SEGNAM,Segment Name,,,
E1EDK17.QUALF,IDOC qualifier: Terms of deliv,,,
E1EDK17.LKOND,IDOC delivery condition code,,,
E1EDK17.LKTEXT,IDOC delivery condition text,,,
E1EDK18.SEGNUM,Segment Number,,,
E1EDK18.SEGNAM,Segment Name,,,
E1EDK18.QUALF,IDOC qualifier: Terms of payme,,,
E1EDK18.TAGE,IDOC Number of days,,,
E1EDK18.PRZNT,IDOC percentage for terms of p,,,
E1EDK18.ZTERM_TXT,Text line,,,
E1EDK28.SEGNUM,Segment Number,,,
E1EDK28.SEGNAM,Segment Name,,,
E1EDK28.BCOUN,Country Key,,,
E1EDK28.BRNUM,Bank Key,,,
E1EDK28.BNAME,Bank name,,,
E1EDK28.BALOC,Location of bank,,,
E1EDK28.ACNUM,Account number in bank data,,,
E1EDK28.ACNAM,Account holder in bank data,,,
E1EDK28.SEGNUM,Segment Number,,,
E1EDK28.SEGNAM,Segment Name,,,
E1EDK28.BCOUN,Country Key,,,
E1EDK28.BRNUM,Bank Key,,,
E1EDK28.BNAME,Bank name,,,
E1EDK28.BALOC,Location of bank,,,
E1EDK28.ACNUM,Account number in bank data,,,
E1EDK28.ACNAM,Account holder in bank data,,,
E1EDK28.SEGNUM,Segment Number,,,
E1EDK28.SEGNAM,Segment Name,,,
E1EDK28.BCOUN,Country Key,,,
E1EDK28.BRNUM,Bank Key,,,
E1EDK28.BNAME,Bank name,,,
E1EDK28.BALOC,Location of bank,,,
E1EDK28.ACNUM,Account number in bank data,,,
E1EDK28.ACNAM,Account holder in bank data,,,
E1EDK28.BIBAN,IBAN (International Bank Accou,,,
E1EDK28.SEGNUM,Segment Number,,,
E1EDK28.SEGNAM,Segment Name,,,
E1EDK28.BCOUN,Country Key,,,
E1EDK28.BRNUM,Bank Key,,,
E1EDK28.BNAME,Bank name,,,
E1EDK28.BALOC,Location of bank,,,
E1EDK28.ACNUM,Account number in bank data,,,
E1EDK28.ACNAM,Account holder in bank data,,,
E1EDK28.SEGNUM,Segment Number,,,
E1EDK28.SEGNAM,Segment Name,,,
E1EDK28.BCOUN,Country Key,,,
E1EDK28.BRNUM,Bank Key,,,
E1EDK28.BNAME,Bank name,,,
E1EDK28.BALOC,Location of bank,,,
E1EDK28.ACNUM,Account number in bank data,,,
E1EDK28.ACNAM,Account holder in bank data,,,
E1EDK28.BIBAN,IBAN (International Bank Accou,,,
E1EDK28.SEGNUM,Segment Number,,,
E1EDK28.SEGNAM,Segment Name,,,
E1EDK28.BCOUN,Country Key,,,
E1EDK28.BRNUM,Bank Key,,,
E1EDK28.BNAME,Bank name,,,
E1EDK28.BALOC,Location of bank,,,
E1EDK28.ACNUM,Account number in bank data,,,
E1EDK28.ACNAM,Account holder in bank data,,,
E1EDK28.SEGNUM,Segment Number,,,
E1EDK28.SEGNAM,Segment Name,,,
E1EDK28.BCOUN,Country Key,,,
E1EDK28.BRNUM,Bank Key,,,
E1EDK28.BNAME,Bank name,,,
E1EDK28.BALOC,Location of bank,,,
E1EDK28.ACNUM,Account number in bank data,,,
E1EDK28.ACNAM,Account holder in bank data,,,
E1EDK28.SEGNUM,Segment Number,,,
E1EDK28.SEGNAM,Segment Name,,,
E1EDK28.BCOUN,Country Key,,,
E1EDK28.BRNUM,Bank Key,,,
E1EDK28.BNAME,Bank name,,,
E1EDK28.BALOC,Location of bank,,,
E1EDK28.ACNUM,Account number in bank data,,,
E1EDK28.ACNAM,Account holder in bank data,,,
E1EDK28.BIBAN,IBAN (International Bank Accou,,,
E1EDK28.SEGNUM,Segment Number,,,
E1EDK28.SEGNAM,Segment Name,,,
E1EDK28.BCOUN,Country Key,,,
E1EDK28.BRNUM,Bank Key,,,
E1EDK28.BNAME,Bank name,,,
E1EDK28.BALOC,Location of bank,,,
E1EDK28.ACNUM,Account number in bank data,,,
E1EDK28.ACNAM,Account holder in bank data,,,
E1EDK29.SEGNUM,Segment Number,,,
E1EDK29.SEGNAM,Segment Name,,,
E1EDK29.LAND1,Country Key,,,
E1EDKT1.SEGNUM,Segment Number,,,
E1EDKT1.SEGNAM,Segment Name,,,
E1EDKT1.TDID,Text ID,,,
E1EDKT1.TSSPRAS,Language Key,,,
E1EDKT1.TSSPRAS_ISO,2-Character SAP Language Code,,,
E1EDK14.SEGNUM,Segment Number,,,
E1EDK14.SEGNAM,Segment Name,,,
E1EDK14.QUALF,IDOC qualifer organization,,,
E1EDK14.ORGID,IDOC organization,67,1,P
E1EDK14.SEGNUM,Segment Number,,,
E1EDK14.SEGNAM,Segment Name,,,
E1EDK14.QUALF,IDOC qualifer organization,,,
E1EDK14.ORGID,IDOC organization,67,4,0001
E1EDK14.SEGNUM,Segment Number,,,
E1EDK14.SEGNAM,Segment Name,,,
